title,link,head_title,head_name,inn,ogrn,reg_date,reg_cap,status,main_activity,main_activity_code,address
"ооо ""свр маде""",/id/11608840,инн,7841078791,7841078791,1187847319615,7 ноября 2018 г.,10 000 руб.,,56.30 подача напитков,563000,"191119, город санкт-петербург, социалистическая улица, дом 1/32 литер а, помещение 1н офис 1"
"ооо ""с.д.м.""",/id/11784964,генеральный директор,каджаиа натиг вагиф оглы,2312282636,1192375034081,7 мая 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"350075, краснодарский край, город краснодар, старокубанская улица, дом 129, квартира 45"
"ооо ""рэдроус""",/id/11846008,генеральный директор,надточий ксения николаевна,7724484479,1197746467346,24 июля 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"115598, город москва, липецкая улица, дом 7 корпус 1, квартира 162"
"ооо ""артлидер""",/id/11847703,директор,фролова антонина васильевна,3444272403,1193443009330,25 июля 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"400066, волгоградская область, город волгоград, глубокоовражная улица, дом 6, офис 1"
"ооо ""гранула""",/id/1848564,директор,горобец игорь владимирович,5403132351,1025401304400,29 октября 1997 г.,10 000 руб.,,56.30 подача напитков,563000,"630024, новосибирская область, город новосибирск, улица мира, 63а-4"
"ооо ""скорпион""",/id/722582,директор,иванов игорь александрович,6731012531,1026701432680,2 июля 1992 г.,10 000 руб.,,56.30 подача напитков,563000,"214014, смоленская область, город смоленск, тенишевой улица, 17"
"ооо ""весна""",/id/723957,генеральный директор,попов леонид николаевич,3666131682,1063667078970,1 марта 2006 г.,10 000 руб.,,56.30 подача напитков,563000,"394006, воронежская область, город воронеж, улица карла маркса, дом 68, офис 124"
"ооо ""калинки""",/id/2725428,директор,жуколин валерий александрович,4427003956,1064439008039,5 июня 2006 г.,10 000 руб.,,56.30 подача напитков,563000,"157874, костромская область, судиславский район, деревня калинки, лесная улица, 6"
"ооо ""сливки""",/id/4068606,директор,дудко дмитрий игоревич,7423021117,1067423005407,19 апреля 2006 г.,10 000 руб.,,56.30 подача напитков,563000,"456770, челябинская область, город снежинск, улица 40 лет октября, 5, 28"
"ооо ""сириус""",/id/2495900,директор,северухина ольга александровна,6617012310,1069617010759,20 сентября 2006 г.,10 000 руб.,,56.30 подача напитков,563000,"640037, курганская область, город курган, улица одесская (южный поселок тер.), дом 32"
"ооо ""джек и лепреконы""",/id/6616273,директор,набилкова ольга александровна,3702688182,1123702033861,17 декабря 2012 г.,10 000 руб.,,56.30 подача напитков,563000,"153000, ивановская область, город иваново, улица 10 августа, 16"
"ооо ""техас""",/id/7530594,генеральный директор,довгий владислав викторович,9201012563,1149204038499,25 ноября 2014 г.,10 000 руб.,,56.30 подача напитков,563000,"299014, город севастополь, улица правды, дом 17"
"ооо ""смайл""",/id/7860522,генеральный директор,ильинский данила игоревич,7704307792,1157746174200,5 марта 2015 г.,10 000 руб.,,56.30 подача напитков,563000,"119019, город москва, улица новый арбат, дом 2"
"ооо ""своя империя""",/id/10584758,директор,робканов дмитрий михайлович,7206055359,1167232077869,9 августа 2016 г.,567 600 руб.,,56.30 подача напитков,563000,"626152, тюменская область, город тобольск, ленская улица, дом 20"
"ооо ""сэйлор джерри""",/id/10824682,директор,пацалюк илья александрович,1655378042,1161690185667,21 декабря 2016 г.,10 000 руб.,,56.30 подача напитков,563000,"420111, республика татарстан, город казань, улица карла маркса, дом 5, помещение 13н"
"ооо ""нк сахар""",/id/11013939,генеральный директор,шевалдина татьяна николаевна,8905063587,1178901002477,18 мая 2017 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"629805, ямало-ненецкий автономный округ, город ноябрьск, проспект мира, дом 10, квартира 18"
"ооо ""бариста""",/id/11122365,генеральный директор,мартиашвили акаки давидович,9701084358,1177746855142,9 августа 2017 г.,50 000 руб.,,56.30 подача напитков,563000,"101000, город москва, улица маросейка, дом 15 строение 1, эт 1 пом 1 ком 5"
"ооо ""хорека регион""",/id/11413056,генеральный директор,ялышева ленара варисовна,1656102470,1181690032963,17 апреля 2018 г.,300 000 руб.,,56.30 подача напитков,563000,"420030, республика татарстан, город казань, улица клары цеткин, дом 28, офис 1"
"ооо ""венский лес""",/id/11524223,генеральный директор,журавлев дмитрий анатольевич,7720439235,1187746731875,7 августа 2018 г.,10 000 руб.,,56.30 подача напитков,563000,"111539, город москва, вешняковская улица, дом 19, эт 1 пом i оф. 30д"
"ооо ""прайм""",/id/11713884,директор,березин михаил борисович,2225199526,1192225007171,22 февраля 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"656043, алтайский край, город барнаул, мало-олонская улица, дом 28, офис 1"
"ооо ""вершина""",/id/11741844,руководитель ликвидационной комиссии,маркосян вачаган сержикович,8605031190,1198617003463,25 марта 2019 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"628681, ханты-мансийский автономный округ - югра, город мегион, новая улица, дом 15 строение 13 а"
"ооо ""прайд""",/id/11804397,директор,теремовский даниил юрьевич,1001342263,1191001005700,3 июня 2019 г.,10 200 руб.,,56.30 подача напитков,563000,"185035, республика карелия, город петрозаводск, проспект карла маркса (центр р-н), дом 14, квартира 26"
"ооо ""бар-37""",/id/11845599,директор,гаршаулашвили гела луарсабович,3702222948,1193702014802,23 июля 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"153005, ивановская область, город иваново, шереметевский проспект, дом 83а, помещение 11"
"ооо ""баржа""",/id/11847789,директор,никонова александра юрьевна,2308267321,1192375053750,25 июля 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"350049, краснодарский край, город краснодар, севастопольская улица, дом 5, офис 4"
"ооо ""текстура групп""",/id/11848648,директор,жаворонков дмитрий евгеньевич,5260465180,1195275038034,25 июля 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"603001, нижегородская область, город нижний новгород, рождественская улица, дом 10, помещение п5"
"ооо "" виктория """,/id/43013,директор,дружинин сергей вениаминович,2465080764,1032402665701,9 декабря 2003 г.,10 000 руб.,,56.30 подача напитков,563000,"660061, красноярский край, город красноярск, улица калинина, 70в"
"ооо ""триумфъ""",/id/4284971,генеральный директор,шуфкова наталья михайловна,5610074877,1035605507200,13 февраля 2003 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"460021, оренбургская область, город оренбург, проспект гагарина, 5"
"ооо ""формула к""",/id/4176776,директор,коломасов олег александрович,5638026947,1045615334654,29 декабря 2004 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"460511, оренбургская область, оренбургский район, село подгородняя покровка, советская улица, 1 а"
"ооо ""манчо""",/id/1310558,генеральный директор,сидоренко анастасия александровна,4027068839,1054003018299,3 июня 2005 г.,1 650 000 руб.,,56.30 подача напитков,563000,"248001, калужская область, город калуга, улица кирова, 63, 71"
"ооо ""дольче вита плюс""",/id/3182118,директор,назарова наталия геннадьевна,1650155405,1071650006856,27 марта 2007 г.,10 000 руб.,,56.30 подача напитков,563000,"423823, республика татарстан, город набережные челны, проспект мира, 65 а"
"ооо ""националь девелопмент""",/id/4447182,генеральный директор,яшин андрей ильич,7811376663,1077847441880,8 июня 2007 г.,20 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"190020, город санкт-петербург, набережная реки фонтанки, дом 172, помещение 1"
"ооо ""атмосфера""",/id/851723,генеральный директор,коршунова татьяна леонидовна,1007017534,1081035001123,26 мая 2008 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"186792, республика карелия, город сортавала, улица маяковского, 24, 18"
"ооо ""отдыхсервис""",/id/1693925,генеральный директор,галкина кира васильевна,5262224173,1085262002110,26 февраля 2008 г.,10 000 руб.,организация в процессе реорганизации,56.30 подача напитков,563000,"603024, нижегородская область, город нижний новгород, улица невзоровых, 47, 64"
"ооо ""подкова""",/id/2440316,директор,лебедева елена николаевна,6323107351,1086320007872,26 марта 2008 г.,11 227 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"445004, самарская область, город тольятти, улица толстого, 13, 41"
"ооо ""воля""",/id/1801463,генеральный директор,самоквасова ольга игоревна,6321235132,1096320014317,21 октября 2009 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"445031, самарская область, город тольятти, бульвар татищева, 16, 87"
"ооо ""современный город""",/id/5412988,директор,кутузова евгения александровна,2337041350,1102337000765,2 ноября 2010 г.,11 000 руб.,,56.30 подача напитков,563000,"353460, краснодарский край, город геленджик, курзальная улица, дом 19 помещение 10, офис 1"
"ооо ""сургутсити""",/id/4025036,инн,8602167072,8602167072,1108602001287,24 февраля 2010 г.,251 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"625002, тюменская область, город тюмень, пароходская улица, 31"
"ооо ""сквер""",/id/5840944,директор,цигура ольга александровна,2308184890,1122308000319,24 января 2012 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"350000, краснодарский край, город краснодар, красная улица, 124 литер а"
"ооо ""вега""",/id/6999401,генеральный директор,медведева елена александровна,5406754946,1135476120141,1 августа 2013 г.,15 000 руб.,,56.30 подача напитков,563000,"630099, новосибирская область, город новосибирск, советская улица, дом 18, офис 307"
"ооо ""ёрш""",/id/7429130,генеральный директор,павловец луиза рашидовна,2901251324,1142901009701,17 сентября 2014 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"163030, архангельская область, город архангельск, улица революции, дом 16"
"ооо ""пивкофф""",/id/7801333,генеральный директор,смышляев денис павлович,4217167323,1144217018043,30 декабря 2014 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"654027, кемеровская область, город новокузнецк, улица кирова (центральный р-н), дом 5"
"ооо ""модерн""",/id/8536612,директор,дерин дмитрий викторович,5256129130,1145256003144,29 апреля 2014 г.,10 000 руб.,,56.30 подача напитков,563000,"603053, нижегородская область, город нижний новгород, улица васнецова, 19, 34"
"ооо ""кемерово-1""",/id/7360622,генеральный директор,болдина татьяна александровна,5406789000,1145476107413,29 августа 2014 г.,22 000 руб.,,56.30 подача напитков,563000,"630099, новосибирская область, город новосибирск, советская улица, дом 18, офис 308"
"ооо ""омск-2""",/id/7491797,генеральный директор,болдина татьяна александровна,5406791730,1145476126070,9 октября 2014 г.,23 000 руб.,,56.30 подача напитков,563000,"630099, новосибирская область, город новосибирск, советская улица, дом 18, офис 311"
"ооо ""имбирь""",/id/8575526,директор,володина людмила васильевна,6311153226,1146311004553,15 августа 2014 г.,10 000 руб.,,56.30 подача напитков,563000,"443070, самарская область, город самара, аэродромная улица, дом 47а литера а, комната 6"
"ооо ""рассвет""",/id/7231293,директор,аришина валентина ивановна,6453134878,1146453002464,2 июня 2014 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"443070, саратовская область, город саратов, улица им академика о.к.антонова, 23а"
"ооо ""моника""",/id/7563378,директор,исаев кирилл викторович,7325133207,1147325007400,12 декабря 2014 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"432071, ульяновская область, город ульяновск, улица карла маркса, дом 17"
"ооо ""лорд""",/id/7223162,генеральный директор,кутилин николай викторович,7701399019,1147746696790,19 июня 2014 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"107031, город москва, переулок столешников, дом 11"
"ооо ""рекрутинг спб""",/id/7884851,инн,7813212276,7813212276,1157847014555,21 января 2015 г.,20 000 руб.,,56.30 подача напитков,563000,"197110, город санкт-петербург, большая разночинная улица, дом 16 литера а, помещение 3-н, no62 (18 часть)"
"ооо ""кх спб""",/id/10237354,ликвидатор,дорошевич евгения александровна,7840042986,1157847405693,27 ноября 2015 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"191014, город санкт-петербург, улица радищева, дом 37, помещение 6н"
"ооо ""легкий чек""",/id/10680931,генеральный директор,жуков александр сергеевич,7203398414,1167232084997,6 октября 2016 г.,10 000 руб.,,56.30 подача напитков,563000,"625048, тюменская область, город тюмень, улица республики, дом 81, кабинет 204а"
"ооо""грин кинг""",/id/4290572,генеральный директор,калмыков филипп валерьевич,7813355108,5067847277889,24 августа 2006 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"197046, город санкт-петербург, мичуринская улица, 1, пом.17-н"
"ооо ""общепит""",/id/10959823,управляющий - индивидуальный предприниматель,обоянский георгий сергеевич,6671070857,1176658032946,3 апреля 2017 г.,20 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"620100, свердловская область, город екатеринбург, улица ткачей, строение 23, офис 810"
"ооо ""профессионал""",/id/11096934,генеральный директор,медведева елена александровна,5406978488,1175476081516,21 июля 2017 г.,10 000 руб.,,56.30 подача напитков,563000,"630099, новосибирская область, город новосибирск, советская улица, дом 18, офис 303"
"ооо ""паэро""",/id/11348219,генеральный директор,багров денис михайлович,6321444143,1186313015679,22 февраля 2018 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"445036, самарская область, город тольятти, улица дзержинского, дом 70, комната 32"
"ооо ""вайн хаус""",/id/11515988,генеральный директор,урванцев павел олегович,6671087949,1186658056067,27 июля 2018 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"620026, свердловская область, город екатеринбург, улица карла маркса, дом 2"
"ооо ""секрет""",/id/11843427,директор,черяпкин алексей юрьевич,2536318649,1192536023350,19 июля 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"690037, приморский край, город владивосток, улица адмирала юмашева, дом 10 корпус а, квартира 28"
"ооо ""надежда""",/id/982181,ликвидатор,данилова елена васильевна,7604110055,1077604019041,15 июня 2007 г.,506 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"150035, ярославская область, город ярославль, улица доронина, 6"
"ооо ""белгородские просторы""",/id/1506142,директор,гайворонский алексей алексеевич,3123179226,1083123008363,7 мая 2008 г.,18 000 руб.,,56.30 подача напитков,563000,"308000, белгородская область, город белгород, гражданский проспект, 59-а"
"ооо ""чешка""",/id/6754421,генеральный директор,коломойцев дмитрий анатольевич,6163126829,1126195013207,29 ноября 2012 г.,38 200 руб.,,56.30 подача напитков,563000,"344002, ростовская область, город ростов-на-дону, красноармейская улица, 170 г, 2т"
"ооо ""койот""",/id/6667348,директор,захарова ирина владимировна,7604240199,1137604004020,27 февраля 2013 г.,10 000 руб.,,56.30 подача напитков,563000,"150000, ярославская область, город ярославль, улица кирова, дом 5а"
"ооо ""ви эн ви""",/id/7266559,генеральный директор,алтыбасаров асан,7703812231,1147746679057,16 июня 2014 г.,1 000 000 руб.,,56.30 подача напитков,563000,"121069, город москва, улица никитская м., дом 8/1"
"ооо ""платинум""",/id/7529934,директор,болтян сергей викторович,9203002480,1149204017632,9 сентября 2014 г.,100 000 руб.,,56.30 подача напитков,563000,"299814, город севастополь, качинское шоссе, дом 43"
"ооо ""барон""",/id/10196574,генеральный директор,степанова ксения владимировна,3025017001,1153025006375,23 октября 2015 г.,10 000 руб.,,56.30 подача напитков,563000,"414022, астраханская область, город астрахань, звездная улица, дом 49, квартира 61"
"ооо ""бочковъ""",/id/10624948,директор,башатов александр александрович,1659175117,1161690147354,9 сентября 2016 г.,10 000 руб.,,56.30 подача напитков,563000,"420054, республика татарстан, город казань, авангардная улица, дом 145, помещение 1500"
"ооо ""интенсивник""",/id/10625427,генеральный директор,балашов андрей владимирович,7842116827,1167847359130,12 сентября 2016 г.,10 000 руб.,,56.30 подача напитков,563000,"191024, город санкт-петербург, херсонская улица, дом 10 литер а, помещение 19-н"
"ооо ""авира""",/id/10989885,директор,тихий тарас александрович,1001325564,1171001004536,25 апреля 2017 г.,10 000 руб.,,56.30 подача напитков,563000,"185005, республика карелия, город петрозаводск, улица ригачина (зарека р-н), дом 47, помещение 24"
"ооо ""паннама-клаб""",/id/11018577,ликвидатор,вычугжанин яков васильевич,6686095163,1176658050425,19 мая 2017 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"624090, свердловская область, город верхняя пышма, успенский проспект, дом 48б"
"ооо ""бриз""",/id/11032151,директор,карабан владимир генрихович,3329090532,1173328007907,30 мая 2017 г.,100 000 руб.,,56.30 подача напитков,563000,"600901, владимирская область, город владимир, микрорайон юрьевец, институтский городок, дом 14а, квартира 57"
"ооо ""санрайз""",/id/11290223,генеральный директор,ламанов игорь александрович,7816655614,1177847417330,27 декабря 2017 г.,100 000 руб.,,56.30 подача напитков,563000,"191023, город санкт-петербург, садовая улица, дом 28-30 корпус 1, помещение 61-н"
"ооо ""лето бар""",/id/11380994,директор,усенов данабек адилбекович,9709028443,1187746314898,20 марта 2018 г.,10 000 руб.,,56.30 подача напитков,563000,"115088, город москва, шарикоподшипниковская улица, дом 4 корпус 4а, эт 1 ком 11"
"ооо ""север""",/id/11798129,директор,филин александр дмитриевич,7602149272,1197627012747,24 мая 2019 г.,10 000 руб.,,56.30 подача напитков,563000,"150045, ярославская область, город ярославль, ленинградский проспект, дом 93а"
"ооо ""страйк-9""",/id/2964519,директор,локтионов денис сергеевич,6316100299,1056316031375,27 апреля 2005 г.,10 000 руб.,,56.30 подача напитков,563000,"443100, самарская область, город самара, ново-садовая улица, дом 31, офис 100"
"ооо ""крона""",/id/4286474,генеральный директор,григорьев дмитрий борисович,7717527700,1057746361969,3 марта 2005 г.,10 000 руб.,,56.30 подача напитков,563000,"129366, город москва, проспект мира, дом 150, эт 2 комн 1"
"ооо ""дельта+""",/id/604074,директор,зиновьев михаил васильевич,2902052890,1062902010930,5 июня 2006 г.,10 000 руб.,,56.30 подача напитков,563000,"164507, архангельская область, город северодвинск, народная улица, дом 11, квартира 9"
"ооо ""нэга""",/id/3472115,генеральный директор,гализдра наталья леонидовна,2632087190,1072632004598,10 сентября 2007 г.,10 000 руб.,,56.30 подача напитков,563000,"357500, ставропольский край, город пятигорск, бульвар гагарина, 2"
"ооо ""люмьер""",/id/3520008,директор,шулепов сергей егорович,1101067719,1081101003708,12 мая 2008 г.,10 000 руб.,,56.30 подача напитков,563000,"167000, республика коми, город сыктывкар, улица кирова, 56"
"ооо ""империя""",/id/1956109,директор,михеева лариса валентиновна,1215142663,1091215005090,18 сентября 2009 г.,250 000 руб.,,56.30 подача напитков,563000,"424007, республика марий эл, город йошкар-ола, улица прохорова, дом 26, помещение 6 литер а"
"ооо ""ремарк""",/id/1597011,директор,бикбулатов игорь рафаэлевич,7610083280,1097610000993,15 апреля 2009 г.,16 000 руб.,,56.30 подача напитков,563000,"117149, город москва, азовская улица, 13, 5""а"""
"ооо ""фарт""",/id/6002229,директор,козлова ольга валериевна,6312117414,1126312003916,14 мая 2012 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"443052, самарская область, город самара, улица земеца, 30, 4"
"ооо ""грин""",/id/6962056,генеральный директор,гриднев андрей владимирович,3123327121,1133123014188,19 июля 2013 г.,20 500 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"308003, белгородская область, город белгород, народный бульвар, дом 52 а"
"ооо ""альфа""",/id/6693943,директор,борисова наталья анатольевна,3455000458,1133455000557,1 марта 2013 г.,11 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"141410, московская область, город химки, проспект мельникова, 23/2, офис 4"
"ооо ""миля""",/id/7488515,генеральный директор,малышева ирина евгеньевна,5262286821,1135262001995,28 февраля 2013 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"603136, нижегородская область, город нижний новгород, улица имени маршала рокоссовского к.к., 15, п2"
"ооо ""эльба+""",/id/7498789,директор,бердников василий анатольевич,1651072448,1141651001964,3 июля 2014 г.,10 100 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"423579, республика татарстан, нижнекамский район, город нижнекамск, проспект вахитова, дом 14, квартира 125"
"ооо ""трио""",/id/7231012,директор,столяров дмитрий николаевич,2308210685,1142308007280,30 мая 2014 г.,12 000 руб.,,56.30 подача напитков,563000,"350089, краснодарский край, город краснодар, проспект чекистов, 15/1"
"ооо ""нтт лаундж рум""",/id/9261057,директор,смирнов владислав александрович,3702738877,1143702022012,11 сентября 2014 г.,160 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"153013, ивановская область, город иваново, улица смирнова, 3 дом"
"ооо ""амбар""",/id/7491695,директор,номоконов роман геннадьевич,3801993290,1143850046779,29 октября 2014 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"665813, иркутская область, город ангарск, квартал 86, дом 1, квартира 26"
"ооо ""бытсервис""",/id/7220089,ликвидатор,кабанова наталья александровна,4401148611,1144401000710,30 января 2014 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"156008, костромская область, город кострома, улица смирнова юрия, 65, 8"
"ооо ""арт-платформа""",/id/7494408,управляющий - индивидуальный предприниматель,батурин андрей игоревич,6623104707,1146623006023,29 августа 2014 г.,252 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"622049, свердловская область, город нижний тагил, черноисточинское шоссе, 82, офис 114"
"ооо ""веден""",/id/7817436,инн,1609030243,1609030243,1151690076537,25 сентября 2015 г.,11 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"422031, республика татарстан, арский район, село новый кинер, улица серп и молот, дом 2, офис 1"
"ооо ""коннект""",/id/7759474,генеральный директор,макаровский владимир николаевич,2904027578,1152904000974,29 июля 2015 г.,12 000 руб.,,56.30 подача напитков,563000,"165300, архангельская область, котласский район, город котлас, октябрьская улица, дом 37 корпус а, офис 3"
"ооо ""возрождение""",/id/7704526,директор,мкртчян гамлет овсепович,3702102129,1153702003840,24 февраля 2015 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"153002, ивановская область, город иваново, проспект ленина, дом 94"
"ооо ""стоун""",/id/9979199,директор,мясников дмитрий юрьевич,4345418205,1154345013283,16 июня 2015 г.,11 765 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"610006, кировская область, город киров, улица лепсе, дом 4/4"
"ооо ""бахус""",/id/7831219,директор,гагарских андрей владимирович,4345423861,1154350005259,2 сентября 2015 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"610913, кировская область, город киров, поселок костино, улица 60 лет ссср, дом 2"
"ооо ""традиции вкуса""",/id/7732990,директор,смоленцева наталия викторовна,5245026767,1155252002212,24 июля 2015 г.,10 000 руб.,,56.30 подача напитков,563000,"607603, нижегородская область, богородский район, город богородск, улица бренциса, дом 1а"
"ооо ""лофт13""",/id/7714759,генеральный директор,бобров михаил александрович,7841025736,1157847235567,8 июля 2015 г.,10 000 руб.,организация в процессе ликвидации,56.30 подача напитков,563000,"191014, город санкт-петербург, улица жуковского, дом 17 литер а, помещение 6н"
